form	lemma	POS	morph
ཞེས་་	ཞེས་པ་	PART
འི་	གི་	PART
མདོ་		
བདག་མེད་པ་	བདག་མེད་པ་	ADJ
ར་	ལ་	PART
བསྒྲུབས་	བསྒྲུབས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
བདག་	བདག་	PRON
དོན་དམ་པ་	དོན་དམ་པ་	NOUN
ར་	ལ་	PART
ཡོད་	ཡོད་	VERB
ན་	ལ་	PART
དེ་	དེ་	DET
ར་	ལ་	PART
ཞེན་པ་	ཞེན་པ་	VERB
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སུ་	ལ་	PART
འགྱུར་བ་	འགྱུར་བ་	VERB
ས་	གིས་	PART
དེ་	དེ་	DET
ས་	གིས་	PART
སྲིད་པ་	སྲིད་པ་	VERB
འི་	གི་	PART
རྩ་བ་	རྩ་བ་	NOUN
གཅོད་	གཅོད་	NO_POS
ཀྱི་	གི་	PART
མི་	མི་	PART
སྐྱེད་	སྐྱེད་	VERB
དོ་	གོ་	PART
"།

།"		PUNCT
འོ་ན་	འོ་ན་	NO_POS
དེ་	དེ་	DET
ར་	ལ་	PART
ཞེན་པ་	ཞེན་པ་	VERB
སྐྱེ་བ་	སྐྱེ་བ་	VERB
འགལ་	འགལ་	VERB
སྙམ་པ་	སྙམ་པ་	VERB
འི་	གི་	PART
བརྒལ་བ་	བརྒལ་བ་	VERB
འི་	གི་	PART
ལན་	ལན་	NOUN
དུ་	ལ་	PART
བྱིས་པ་	བྱིས་པ་	NOUN
འི་	གི་	PART
བློ་	བློ་	NOUN
ཅན་	ཅན་	PART
རྣམས་	རྣམས་	DET
དེ་	དེ་	DET
ར་	ལ་	PART
ཞེན་	ཞེན་	VERB
ནོ་	གོ་	PART
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ཞེན་པ་	ཞེན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
གསུམ་	གསུམ་	NUM
བསགས་	བསགས་	VERB
ཏེ་	སྟེ་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
རྣམས་	རྣམས་	DET
བྱུང་ཚུལ་	བྱུང་ཚུལ་	VERB
བཤད་	བཤད་	VERB
ན་	ནས་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ན་	ལ་	PART
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
གྱི་	གི་	PART
ཕུང་པོ་	ཕུང་པོ་	NOUN
བདག་མེད་པ་	བདག་མེད་པ་	ADJ
འབའ་ཞིག་པ་	འབའ་ཞིག་པ་	NO_POS
འདི་	འདི་	DET
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
རོ་	རོ་	NOUN
གསུངས་	གསུངས་	VERB
ན་	ནས་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
སོ་སོ་	སོ་སོ་	PRON
འི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
ངོས་བཟུང་	ངོས་བཟུང་	NOUN
ངོ་	གོ་	PART
། །		PUNCT
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
